,id,url,title,description,date,image
0,CPNWH5LCKX6LX35PIBE28VDBRYXJFSVP,http://www.foxnews.com/entertainment/kelly-clarkson-kids-therapy-divorce-brandon-blackstock,Kelly Clarkson reveals her kids are receiving therapy amid divorce from Brandon Blackstock,Kelly Clarkson and her estranged husband Brandon Blackstock have introduced therapy...,2020-10-13 13:31:03,http://a57.foxnews.com60/60/clarkson-blackstock-getty.jpg
1,ATTXJW4LTQ0VF8K3YMODNEZKYI1S9WYV,http://www.foxnews.com/entertainment/megan-fox-introduced-kids-machine-gun-kelly-report,Megan Fox has introduced her kids to Machine Gun Kelly: report,Megan Fox and Machine Gun Kelly have taken a major step in their relationship...,2020-10-13 12:38:05,http://a57.foxnews.com60/60/Machine-Gun-Kelly-Megan-Fox-Getty.jpg
2,43LXI0AB8HGO6Z5WMCWVN1NGCBQALK0F,http://deadline.com/2020/10/amc-entertainment-could-be-largely-depleted-by-year-end-exploring-assets-sales-joint-ventures-1234596325/,"AMC Entertainment Says Cash Will Be “Largely Depleted” By Year End; Exploring Assets Sales, Joint Ventures, Minority Investments",Things are going from bad to worse in exhibition as AMC Entertainment said Tuesday its cash will be gone by late this year or early next and it&...,2020-10-13 11:40:28,http://deadline.com/wp-content/uploads/2020/08/amc-theatres.jpg
3,DI0OXF381OCGAYMWK9E8OV53HHHZWHIN,https://www.independent.co.uk/arts-entertainment/music/news/bts-china-korean-war-us-rm-award-speech-weibo-controversy-explained-b1008379.html,BTS provoke backlash in China after Korean War comments,&lt;p&gt;Singer RM had referred to a &lsquo;shared history of pain&rsquo; between the US and South Korea&lt;/p&gt;...,2020-10-13 06:41:34,
4,6J71MF8GIRBCGQ5SDIDHQE1ZTWBHCPKF,https://gadgets.ndtv.com/entertainment/news/netflix-animated-movies-six-per-year-ted-sarandos-hollywood-biggest-2309327,Netflix Wants to Make More Animated Movies Than Hollywood’s Biggest Studios,"Netflix plans to scale up to six feature-length animated movies every year, co-CEO Ted Sarandos has revealed. That would mean surpassing Hollywo...",2020-10-13 05:51:13,
5,DK4I1HTWLTUOHQM3ZMINUWLFJBX9Q7IW,https://www.independent.co.uk/arts-entertainment/films/features/i-am-greta-film-documentary-thunberg-director-nathan-grossman-interview-b861343.html,I Am Greta director Nathan Grossman: ‘We can’t just pat people like Greta Thunberg on the head and then not listen’,&lt;p&gt;The filmmaker&rsquo;s new documentary follows the world-famous climate activist as she goes from lonely protests to spearheading a mill...,2020-10-13 05:33:32,
6,9PCFHFNZFAONOXBUVBIKUULMHSCTHWX5,https://www.independent.co.uk/arts-entertainment/films/features/danielle-macdonald-i-am-woman-dumplin-bird-box-interview-netflix-b994171.html,"Danielle Macdonald: ‘Films that deal with body image by just saying, ‘Love yourself’? That’s not life’","&lt;p&gt;The star of &lsquo;Unbelievable&rsquo;, &lsquo;Dumplin&rsquo;&rsquo; and &lsquo;Patti Cake$&rsquo; tells Annabel Nugent about growing u...",2020-10-13 05:32:12,
7,KQQKFLRPAELO4ZETTAS0PJ13I9RBYLQ4,https://www.independent.co.uk/arts-entertainment/with-concert-halls-shut-ny-philharmonic-takes-to-sidewalk-people-coronavirus-pandemic-new-york-one-home-b1007031.html,"With concert halls shut, NY Philharmonic takes to sidewalk",The New York Philharmonic has found a way to play on even after its performance hall was shut because of the coronavirus...,2020-10-13 05:10:31,
8,XE1EZWPI76XAWZYF5VP4NLXOFBCUDMRL,http://www.scmp.com/lifestyle/entertainment/article/3105163/miss-s-actress-ma-yili-being-independent-woman-characters,"Miss S actress Ma Yili on being an independent woman like the characters she plays, unafraid to speak out on feminism or look ugly when a role calls for it","Ma Yili, who often plays independent, strong-minded women on-screen, is seen as a bit of a feminist in China – a view reinforced by the remarks...",2020-10-13 03:45:17,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/methode/2020/10/13/0dce76c6-0c39-11eb-94e0-02af7fd927c6_image_hires_170118.JPG?itok=qkM5bYwG
9,6G8BVJG70JKRKDHZBOL99S4WRZ21QF4L,http://variety.com/2020/music/news/bts-big-hit-entertainment-korean-war-china-1234802041/,BTS Faces Backlash in China Over Korean War Comments,"K-pop supergroup BTS has risen to become one of the world’s most popular musical acts, but just three days before its company Big Hit Entertainm...",2020-10-13 00:47:46,https://pmcvariety.files.wordpress.com/2020/08/bts-dynamite-music-video.jpg
