,id,url,title,description,date,image
0,ETVM4WJ6OQOFZIJ1DM8WLVFBD29RG03J,http://www.news.com.au/national/biden-is-clearly-struggling-yet-the-democrats-keep-propping-him-up/video/4e1422728459b9748a8b9aea62beb0f4,Biden is ‘clearly struggling’ yet the Democrats ‘keep propping him up’,"Advance Australia Director Liz Storer says the thing which is more disturbing than Joe Biden’s ""brain fades"" is the radical socialist agenda whi...",2020-10-13 09:44:41,
1,OMJB9PIY6J38L97Z5EEDTF8TAIXRLCSK,http://www.news.com.au/national/assad-visits-north-syria-following-damaging-wildfires/video/90556c9933f97ab1d227a55d410cbe89,Assad Visits North Syria Following Damaging Wildfires,"Syrian President Bashar al-Assad visited the northern Latakia governorate on October 13, to inspect damage and meet locals following wildfires i...",2020-10-13 09:44:41,
2,KHRE3SJTW4EGCLANJEN9L8OKF0HFIORD,http://fortune.com/2020/10/13/uk-covid-19-boris-johnson-ignored-sage-advice/,The U.K. government’s scientific advisers told it weeks ago to introduce a national lockdown. It ignored them.,"As the government finally introduces a localized lockdown program, the SAGE scientific panel has made its shunned recommendations public...",2020-10-13 09:37:43,
3,OVRHFPELNWQJUBTE8NDJQYG9U57S0INZ,http://www.lep.co.uk/read-this/savour-splendour-autumns-colours-national-trust-day-out-3001388,Savour the splendour of autumn’s colours with a National Trust day out,Visit nationaltrust.org.uk for more information on places to visit for autumn colour or to support the National Trust&rsquo;s Everyone Needs Nat...,2020-10-13 09:03:59,
4,F7PW1LN0JSJ431TVUATMUDDRRBJ5QS5K,http://www.smh.com.au/national/victoria/ibac-charges-four-with-offences-including-conspiracy-to-defraud-misconduct-in-public-office-20201013-p564rf.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"IBAC charges four with offences including conspiracy to defraud, misconduct in public office",The charges follow an IBAC investigation into allegations of corruption involving contracts issued by the Department of Education and Training a...,2020-10-13 06:24:01,
5,XVRPBDCOOSMOVPJKQZ330GM4XK5OHATP,http://www.smh.com.au/national/western-australia/one-person-feared-dead-after-building-collapse-at-curtin-university-20201013-p564q0.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"One person dead, several injured after building collapse at Curtin University",One person is dead and several are injured after a building collapsed at Curtin University on Tuesday afternoon...,2020-10-13 05:49:02,
6,NHLIGC5X9Y3ONS8EWM1QV3VOSGI644PW,http://www.smh.com.au/national/victoria/the-11-melbourne-postcodes-where-mystery-coronavirus-cases-have-been-confirmed-in-the-past-two-weeks-20201013-p564pp.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Where have Melbourne's recent 'mystery' COVID-19 cases been found?,Victoria's Health Department has released a list of the 11 Melbourne postcodes where mystery coronavirus cases have been confirmed in the past f...,2020-10-13 05:48:04,
7,6LKIWOWR4U77VUSS4VJVFZAROAXIMS3F,http://www.smh.com.au/national/victoria/sorrento-hotelier-files-high-court-challenge-to-melbourne-s-lockdown-20201013-p564p1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Sorrento hotelier files High Court challenge to Melbourne's lockdown,Challenge to the validity of Victoria's lockdown has been lodged in the High Court as legal actions continue to pile up against government respo...,2020-10-13 05:32:37,
8,DYMGJZOVXWGBE9LUCZFVNUPA2R7J8LCM,http://www.smh.com.au/national/queensland/hours-before-brett-forte-died-he-answered-a-call-from-his-killer-20201013-p564mc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"Hours before Brett Forte died, he answered a call from his killer","A proposed joint inquest into Senior Constable Brett Forte's killing by Rick Maddison, shot by police after a 20-hour siege, will likely be dela...",2020-10-13 05:27:06,
9,HQLZ9Z6TWXCVDRZALMYN5OXEKQS3RP0I,http://www.smh.com.au/national/queensland/ask-a-reporter-why-are-some-electorates-named-after-people-rather-than-location-20201006-p562ha.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Ask a Reporter: Why are some electorates named after people rather than location?,"This Queensland election campaign, Brisbane Times is not only reporting on the news of the day, we’re also asking questions on your behalf. Dire...",2020-10-13 04:52:11,
10,BER8CQR5AYSIKYECXGQQVWUI2FZNH4F3,http://www.smh.com.au/national/nsw/sydney-university-temporarily-removes-hong-kong-police-job-ad-20201013-p564ko.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Sydney University temporarily removes Hong Kong police job ad,The University of Sydney is among several universities to have received complaints about its job listings from the Hong Kong Police Force...,2020-10-13 03:57:33,
11,1BDLJTPDSH92BMCGY7KLQRGUZICPTVP3,https://nypost.com/2020/10/12/california-woman-missing-after-hiking-in-zion-national-park-alone/,California woman missing after hiking in Zion National Park alone,"A California woman has been missing since last week after going hiking in a popular national park, authorities said. The woman, 38-year-old Holl...",2020-10-13 02:50:00,https://nypost.com/wp-content/uploads/sites/2/2020/10/Holly-Suzanne-Courtier.jpg?quality=90&strip=all
12,M7JBGLTKUARIXVAXYDQB4MYZFFRA3S6Z,https://www.independent.co.uk/voices/editorials/coronavirus-lockdown-north-south-three-tier-system-rishi-sunak-boris-johnson-b993479.html,We cannot afford to not give out more financial support – our national unity and cohesion depend on it,"&lt;p&gt;&lt;strong&gt;Editorial:&lt;/strong&gt; Without money to pay rent or mortgage, some people will be forced to evade the guidelines and g...",2020-10-12 23:01:00,
13,KBX3I6DCONQNZRGLXATZI9NM2XCLBTW3,https://www.independent.co.uk/news/uk/home-news/coronavirus-pandemic-three-tier-local-national-lockdown-boris-johnson-b808681.html,Coronavirus: What will three-tier lockdowns look like?,&lt;p&gt;Prime minister announces new three-tier lockdown system in Parliament on Monday&lt;/p&gt;...,2020-10-12 15:08:42,
14,OJPF1HYFI7PBW1ZUGCFY2UT2V9CD3DBQ,http://feedproxy.google.com/~r/GamasutraFeatureArticles/~3/YCzKU2JAGww/UK_National_Videogame_Museum_awarded_grant_to_ensure_its_shortterm_survival.php,UK National Videogame Museum awarded grant to ensure its short-term survival,The National Videogame Museum has been awarded a grant from the Arts Council of England's Culture Recovery Fund that will ensure its survival un...,2020-10-12 14:06:00,http://www.gamasutra.com/db_area/images/news/2020/Oct/371726/VGM-.jpg
